,time,cpu_avg,power_all,power_cpu,power_gpu,%CPU,%mem
97,18:16:37,0.01253,3.27748,3.27748,0.0,7.0,7.0
98,18:16:38,0.0201,3.21739,3.21739,0.0,7.0,7.0
99,18:16:39,0.00251,3.37688,3.37688,0.0,7.0,7.0
100,18:16:40,0.01,3.30032,3.30032,0.0,7.0,7.0
101,18:16:41,0.03008,3.15484,3.15484,0.0,7.0,7.0
102,18:16:42,0.015,3.25657,3.25657,0.0,7.0,7.0
103,18:16:43,0.01746,3.23704,3.23704,0.0,7.0,7.0
104,18:16:44,0.01759,3.23603,3.23603,0.0,7.0,7.0
105,18:16:45,0.01005,3.29985,3.29985,0.0,7.0,7.0
106,18:16:46,0.0325,3.14216,3.14216,0.0,7.0,7.0
107,18:16:47,0.01754,3.23637,3.23637,0.0,7.0,7.0
108,18:16:48,0.01496,3.25688,3.25688,0.0,7.0,7.0
109,18:16:49,0.015,3.25657,3.25657,0.0,7.0,7.0
110,18:16:50,0.01759,3.23603,3.23603,0.0,7.0,7.0
111,18:16:51,0.02757,3.16894,3.16894,0.0,7.0,7.0
112,18:16:52,0.01496,3.25688,3.25688,0.0,7.0,7.0
114,18:16:54,0.01253,3.27748,3.27748,0.0,7.0,7.0
115,18:16:55,0.015,3.25657,3.25657,0.0,7.0,7.0
116,18:16:56,0.02764,3.16853,3.16853,0.0,7.0,7.0
117,18:16:57,0.01746,3.23704,3.23704,0.0,7.0,7.0
118,18:16:58,0.0175,3.23671,3.23671,0.0,7.0,7.0
119,18:16:59,0.01754,3.23637,3.23637,0.0,7.0,7.0
120,18:17:00,0.01504,3.25626,3.25626,0.0,7.0,7.0
121,18:17:01,0.01508,3.25595,3.25595,0.0,7.0,7.0
122,18:17:02,0.03008,3.15484,3.15484,0.0,7.0,7.0
123,18:17:03,0.02513,3.18369,3.18369,0.0,7.0,7.0
124,18:17:04,0.01496,3.25688,3.25688,0.0,7.0,7.0
125,18:17:05,0.02046,3.21482,3.21482,0.0,7.0,7.0
