,BL,DT,Delta DT %,Log. Reg.,Delta LogReg %,SVM,Delta SVM %,MLP,Delta MLP % 
CPU Utilization [%],1.7984049353701528,24.46703155339806,1260.4851205750379,26.09310698689956,1350.9027679869555,28.35960341292812,1476.930915566636,33.592766129032256,1767.9200367139842
Memory Utilization[%],7.000058754406581,29.743446601941745,324.90281361164375,32.72467248908297,367.4913973898088,30.920477568740946,341.7174005757639,41.96774193548387,499.5341383251236
Total Power [W],3.238862387191539,3.3327722330097087,2.8994700790483487,3.382633799126637,4.438947838712106,3.421916140255668,5.651791622516489,3.906948225806451,20.62717580274284
