,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],1.0030000000000001,33.838,24.46703155339806,26.75,0.06515907744793609
Memory Utilization[%],1.2,41.8,29.743446601941745,31.8,8.120361645282989
Total Power [W],3.02955,3.65249,3.3327722330097087,3.36257,0.10360435020488391
