2023-07-09;22:59:39;Start
2023-07-09;23:20:45;Stop
2023-07-09;23:20:55;Start
2023-07-09;23:41:16;Stop
2023-07-09;23:41:26;Start
2023-07-10;00:01:53;Stop
2023-07-10;00:02:03;Start
2023-07-10;00:22:23;Stop
2023-07-10;00:22:33;Start
2023-07-10;00:42:55;Stop
2023-07-10;00:43:05;Start
2023-07-10;01:03:29;Stop
2023-07-10;01:03:39;Start
2023-07-10;01:24:00;Stop
2023-07-10;01:24:10;Start
2023-07-10;01:44:32;Stop
2023-07-10;01:44:42;Start
2023-07-10;02:05:04;Stop
2023-07-10;02:05:14;Start
2023-07-10;02:25:38;Stop
2023-07-10;02:25:48;Start
2023-07-10;02:46:09;Stop
2023-07-10;02:46:19;Start
2023-07-10;03:06:43;Stop
2023-07-10;03:06:53;Start
2023-07-10;03:27:25;Stop
2023-07-10;03:27:35;Start
2023-07-10;03:48:01;Stop
2023-07-10;03:48:11;Start
2023-07-10;04:08:40;Stop
2023-07-10;04:08:50;Start
2023-07-10;04:29:11;Stop
2023-07-10;04:29:21;Start
2023-07-10;04:49:41;Stop
2023-07-10;04:49:51;Start
2023-07-10;05:10:14;Stop
2023-07-10;05:10:24;Start
2023-07-10;05:30:44;Stop
2023-07-10;05:30:54;Start
2023-07-10;05:51:15;Stop
2023-07-10;05:51:25;Start
2023-07-10;06:11:49;Stop
2023-07-10;06:11:59;Start
2023-07-10;06:32:21;Stop
2023-07-10;06:32:31;Start
2023-07-10;06:54:48;Stop
2023-07-10;06:54:58;Start
2023-07-10;07:15:19;Stop
2023-07-10;07:15:29;Start
2023-07-10;07:35:49;Stop
2023-07-10;07:35:59;Start
2023-07-10;07:56:21;Stop
2023-07-10;07:56:31;Start
2023-07-10;08:17:42;Stop
2023-07-10;08:17:52;Start
2023-07-10;08:38:20;Stop
2023-07-10;08:38:30;Start
2023-07-10;08:59:32;Stop
2023-07-10;08:59:42;Start
2023-07-10;09:21:05;Stop
