
2023-07-06 14:09:28,697 Start
2023-07-06 14:10:03,303 Start
2023-07-06 14:31:45,614 Stop
2023-07-09 22:59:39,843 Start
2023-07-09 23:20:45,585 Stop
2023-07-09 23:20:55,596 Start
2023-07-09 23:41:16,768 Stop
2023-07-09 23:41:26,779 Start
2023-07-10 00:01:53,159 Stop
2023-07-10 00:02:03,170 Start
2023-07-10 00:22:23,096 Stop
2023-07-10 00:22:33,106 Start
2023-07-10 00:42:55,348 Stop
2023-07-10 00:43:05,359 Start
2023-07-10 01:03:29,899 Stop
2023-07-10 01:03:39,909 Start
2023-07-10 01:24:00,828 Stop
2023-07-10 01:24:10,838 Start
2023-07-10 01:44:32,747 Stop
2023-07-10 01:44:42,758 Start
2023-07-10 02:05:04,500 Stop
2023-07-10 02:05:14,511 Start
2023-07-10 02:25:38,488 Stop
2023-07-10 02:25:48,499 Start
2023-07-10 02:46:09,400 Stop
2023-07-10 02:46:19,411 Start
2023-07-10 03:06:43,595 Stop
2023-07-10 03:06:53,605 Start
2023-07-10 03:27:25,144 Stop
2023-07-10 03:27:35,155 Start
2023-07-10 03:48:01,346 Stop
2023-07-10 03:48:11,356 Start
2023-07-10 04:08:40,823 Stop
2023-07-10 04:08:50,828 Start
2023-07-10 04:29:11,666 Stop
2023-07-10 04:29:21,676 Start
2023-07-10 04:49:41,376 Stop
2023-07-10 04:49:51,387 Start
2023-07-10 05:10:14,807 Stop
2023-07-10 05:10:24,817 Start
2023-07-10 05:30:44,580 Stop
2023-07-10 05:30:54,591 Start
2023-07-10 05:51:15,013 Stop
2023-07-10 05:51:25,023 Start
2023-07-10 06:11:49,350 Stop
2023-07-10 06:11:59,361 Start
2023-07-10 06:32:21,667 Stop
2023-07-10 06:32:31,677 Start
2023-07-10 06:54:48,231 Stop
2023-07-10 06:54:58,240 Start
2023-07-10 07:15:19,790 Stop
2023-07-10 07:15:29,801 Start
2023-07-10 07:35:49,136 Stop
2023-07-10 07:35:59,146 Start
2023-07-10 07:56:21,929 Stop
2023-07-10 07:56:31,939 Start
2023-07-10 08:17:42,934 Stop
2023-07-10 08:17:52,945 Start
2023-07-10 08:38:20,961 Stop
2023-07-10 08:38:30,972 Start
2023-07-10 08:59:32,985 Stop
2023-07-10 08:59:42,995 Start
2023-07-10 09:21:05,370 Stop
